鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
鼓山區,土地,鼓南段三小段301~330地號,42.0,商,,,1071213,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,130952,,0.0,0,,RPOPMLQLKINFFAE08CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,9.0,商,,,1070420,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,87.94999999999999,2,1,2,有,有,5200000,59125,,0.0,0,預售屋,RPPNMLTLKINFFAE28CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,9.0,商,,,1070521,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,87.94999999999999,2,1,2,有,有,5300000,60262,,0.0,0,預售屋,RPQNMLTLKINFFAE38CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,9.0,商,,,1070710,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,87.94999999999999,2,1,2,有,有,5200000,59125,,0.0,0,預售屋,RPRNMLTLKINFFAE48CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,9.0,商,,,1071018,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,87.94999999999999,2,1,2,有,有,5170000,58783,,0.0,0,預售屋,RPSNMLTLKINFFAE58CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,7.94,商,,,1070706,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,77.34,2,1,1,有,有,4390000,56762,,0.0,0,預售屋,RPTNMLTLKINFFAE68CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,7.94,商,,,1070521,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,77.34,2,1,1,有,有,4860000,62839,,0.0,0,預售屋，含裝潢,RPUNMLTLKINFFAE78CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,7.94,商,,,1070424,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,77.34,2,1,1,有,有,4650000,60124,,0.0,0,預售屋,RPVNMLTLKINFFAE88CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,7.94,商,,,1070601,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,77.34,2,1,1,有,有,4500000,58185,,0.0,0,預售屋,RPWNMLTLKINFFAE98CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,7.94,商,,,1070816,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,77.34,2,1,1,有,無,4720000,61029,,0.0,0,預售屋，含裝潢,RPXNMLTLKINFFAE09CA
