鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
林口區,房地(土地+建物)+車位,新北市林口區文化三路一段555巷1~30號,10.04,住,,,1071210,土地1建物1車位1,十層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0961227,90.72,1,1,1,有,有,4700000,51808,坡道平面,38.65,0,,RPUQMLLLKINFFBF48CA
林口區,房地(土地+建物)+車位,新北市林口區信義路151~180號,17.96,住,,,1071129,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941130,140.0,3,2,2,有,有,9800000,70000,坡道平面,0.0,0,,RPUNMLMLKINFFBF28CA
新莊區,房地(土地+建物),新北市新莊區福壽街99巷6弄1~30號,15.27,住,,,1071030,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681004,68.1,3,2,1,有,無,5580000,81938,,0.0,0,含增建或未登記建物。,RPVNMLMLKINFFBF38CA
林口區,房地(土地+建物),新北市林口區自強一街61~90號,90.0,住,,,1071127,土地1建物1車位0,一層，二層，三層，四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780413,252.16,4,2,4,有,無,13980000,55441,,0.0,0,,RPROMLMLKINFFBF08CA
林口區,土地,竹林段331~360地號,485.83,住,,,1021201,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,41100000,84597,,0.0,0,,RPTQMLMLKINFFBF48CA
新莊區,房地(土地+建物)+車位,新北市新莊區福美街151~180號,22.0,住,,,1071014,土地1建物1車位1,九層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070823,133.09,2,2,2,有,有,16880000,145183,坡道平面,29.91,1900000,,RPXQMLMLKINFFBF88CA
五股區,房地(土地+建物),新北市五股區五福路68巷2弄1~30號,15.37,住,,,1071119,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750923,44.02,2,2,1,有,無,2500000,56792,,0.0,0,,RPPOMLNLKINFFBF97CA
林口區,房地(土地+建物),新北市林口區文化二路一段230巷61~90號,18.18,住,,,1070930,土地1建物2車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820520,97.1,3,2,2,有,有,5500000,56643,,0.0,0,,RPSNMLOLKINFFBF28CA
新莊區,房地(土地+建物)+車位,新北市新莊區龍安路69巷1~30號,16.43,住,,,1060120,土地1建物1車位1,十八層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051110,189.31,3,2,2,有,有,20200000,112862,坡道平面,24.95,1650000,,RPXQMLOLKINFFBF09CA
泰山區,土地,貴和段721~750地號,233.15,其他,,,1071211,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18972000,81373,,0.0,0,包含公共設施保留地之交易。;,RPQQMLPLKINFFBF48CA
新莊區,房地(土地+建物)+車位,新北市新莊區福美街1~30號,47.68,住,,,1071008,土地1建物1車位2,十七層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041225,334.28999999999996,4,2,2,有,有,32100000,110215,坡道平面,83.87,4500000,,RPPRMLQLKINFFBF58CA
泰山區,房地(土地+建物),新北市泰山區明志路二段7巷1~30號,34.0,住,,,1071122,土地1建物1車位0,陽台，二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680418,86.35,3,2,2,有,無,5800000,67169,,0.0,0,,RPVRMLQLKINFFBF56CA
新莊區,房地(土地+建物),新北市新莊區民本街11巷31~60號,25.27,住,,,1071116,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700129,75.81,3,1,1,有,無,5500000,72550,,0.0,0,,RPVOMLRLKINFFBF98CA
新莊區,房地(土地+建物)+車位,新北市新莊區中信街151~180號,13.09,商,,,1030608,土地1建物1車位1,十一層,二十四層,其他,見其他登記事項,鋼筋混凝土造,1060926,146.79000000000002,0,0,0,無,有,19950000,162287,坡道平面,36.8,2100000,,RPWQMLRLKINFFBF66CA
新莊區,房地(土地+建物),新北市新莊區中信街151~180號,6.71,商,,,1030426,土地1建物1車位0,十一層,二十四層,其他,見其他登記事項,鋼筋混凝土造,1060926,56.150000000000006,0,0,0,無,有,10070000,179341,,0.0,0,本案簽訂日期103.04.26，於106.07.11讓渡。,RPXQMLRLKINFFBF76CA
林口區,房地(土地+建物)+車位,新北市林口區仁愛路二段106巷1~30號,60.23,住,,,1071108,土地1建物1車位2,一層，見其他登記事項,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040318,251.28,3,2,3,有,有,23000000,91531,坡道平面,0.0,0,一樓夾層有增建,RPPNMLLJJHOFFBF37CA
林口區,房地(土地+建物)+車位,新北市林口區八德路331~360號,20.43,住,,,1021115,土地1建物1車位1,二十一層,三十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1061130,203.32,3,2,2,有,有,22810000,121448,坡道平面,30.9,1870000,,RPRQMLOJJHOFFBF18CA
